Subject,Body,label,data_source,No.,Sender,URL,File,Type,Created by,Source,Year,Motivation
"[Spambayes-checkins] spambayes/scripts core_server.py, NONE, 1.1.2.1","Update of /cvsroot/spambayes/spambayes/scripts In directory sc8-pr-cvs8.sourceforge.net:/tmp/cvs-serv26612/scripts Added Files: Tag: CORESVR core_server.py Log Message: Definitely not yet ready for prime time, but need to check this in so I have something to fall back on. --- NEW FILE: core_server.py --- #!/usr/bin/env python """"""The primary server for SpamBayes. Currently serves the web interface only. Plugging in listeners for various protocols is TBD. This is a first cut at creating a standalone server which uses a plugin architecture to support different protocols. The primary motivation is that web apps like MoinMoin, Trac and Roundup can use spam detection, but they don't necessarily provide the mechanisms necessary to save ham and spam databases for retraining. By providing protocol plugins you should be able to fairly easily provide (for example) an XML-RPC interface web apps can use. The core server takes care of all the training bells and whistles. Usage: core_server.py [options] options: -h : Displays this help message. -d FILE : use the named DBM database file -p FILE : the the named Pickle database file -u port : User interface listens on this port number (default 8880; Browse http://localhost:8880/) -b : Launch a web browser showing the user interface. -o section:option:value : set [section, option] in the options database to value All command line arguments and switches take their default values from the [html_ui] section of bayescustomize.ini. """""" # This module is part of the spambayes project, which is Copyright 2002 # The Python Software Foundation and is covered by the Python Software # Foundation license. __author__ = ""Richie Hindle "" __credits__ = ""Tim Peters, Neale Pickett, Tim Stone, all the Spambayes folk."" try: True, False except NameError: # Maintain compatibility with Python 2.2 True, False = 1, 0 try: reversed except NameError: # Maintain compatibility with Python 2.2 and 2.3 def reversed(seq): """"""for backwards compatibility w/ pre-2.4"""""" seq = list(seq[:]) seq.reverse() return iter(seq) _TODO = """""" Protocol plugin interface: o POP3 o NNTP o Classifier for web apps (e.g. Trac, Roundup, Moin) Web training interface: User interface improvements: o Once the pieces are on separate pages, make the paste box bigger. o Deployment: Windows executable? atlaxwin and ctypes? Or just webbrowser? o ""Reload database"" button. New features: o Online manual. o Links to project homepage, mailing list, etc. o List of words with stats (it would have to be paged!) a la SpamSieve. Info: o Slightly-wordy index page; intro paragraph for each page. o In both stats and training results, report nham and nspam. o ""Links"" section (on homepage?) to project homepage, mailing list, etc. Gimmicks: o Graphs. Of something. Who cares what? """""" import sys, getopt, time from email.Header import Header from spambayes import Dibbler from spambayes import storage from spambayes.Options import options, _ from spambayes.UserInterface import UserInterfaceServer from spambayes.Version import get_current_version from spambayes.CoreUI import CoreUserInterface, CoreState, \\ AlreadyRunningException # Increase the stack size on MacOS X. Stolen from Lib/test/regrtest.py if sys.platform == 'darwin': try: import resource except ImportError: pass else: soft, hard = resource.getrlimit(resource.RLIMIT_STACK) newsoft = min(hard, max(soft, 1024*2048)) resource.setrlimit(resource.RLIMIT_STACK, (newsoft, hard)) # Option-parsing helper functions def _addressAndPort(s): """"""Decode a string representing a port to bind to, with optional address."""""" s = s.strip() if ':' in s: addr, port = s.split(':') return addr, int(port) else: return '', int(s) def _addressPortStr((addr, port)): """"""Encode a string representing a port to bind to, with optional address."""""" if not addr: return str(port) else: return '%s:%d' % (addr, port) def main(state): """"""Runs the proxy forever or until a 'KILL' command is received or someone hits Ctrl+Break."""""" http_server = UserInterfaceServer(state.ui_port) http_server.register(CoreUserInterface(state)) Dibbler.run(launchBrowser=state.launch_ui) # =================================================================== # __main__ driver. # =================================================================== def run(): # Read the arguments. try: opts, args = getopt.getopt(sys.argv[1:], 'hbd:p:l:u:o:') except getopt.error, msg: print >> sys.stderr, str(msg) + '\\n\\n' + __doc__ sys.exit() state = CoreState() for opt, arg in opts: if opt == '-h': print >> sys.stderr, __doc__ sys.exit() elif opt == '-b': state.launch_ui = True # '-p' and '-d' are handled by the storage.database_type call # below, in case you are wondering why they are missing. elif opt == '-l': state.proxyPorts = [_addressAndPort(a) for a in arg.split(',')] elif opt == '-u': state.ui_port = int(arg) elif opt == '-o': options.set_from_cmdline(arg, sys.stderr) state.db_name, state.use_db = storage.database_type(opts) # Let the user know what they are using... v = get_current_version() print ""%s\\n"" % (v.get_long_version(""SpamBayes Core Proxy""),) if 0 <= len(args) <= 2: # Normal usage, with optional server name and port number. if len(args) == 1: state.servers = [(args[0], 110)] elif len(args) == 2: state.servers = [(args[0], int(args[1]))] try: state.prepare() except AlreadyRunningException: print >> sys.stderr, \\ ""ERROR: The proxy is already running on this machine."" print >> sys.stderr, ""Please stop the existing proxy and try again"" return # kick everything off try: main(state) finally: state.close() else: print >> sys.stderr, __doc__ if __name__ == '__main__': run() _______________________________________________ Spambayes-checkins mailing list pnperxdpv-sarswdlp@python.org http://mail.python.org/mailman/listinfo/spambayes-checkins",0,fuzzer-LLM,2398,Skip Montanaro <dwooqfuug@users.sourceforge.net>,http://localhost:8880/; http://mail.python.org/mailman/listinfo/spambayes-checkins,,Valid,Human,CEAS_08 Line 496,2008,Unknown
"[Spambayes-checkins] spambayes setup.py,1.32,1.32.2.1","Update of /cvsroot/spambayes/spambayes In directory sc8-pr-cvs8.sourceforge.net:/tmp/cvs-serv26612 Modified Files: Tag: CORESVR setup.py Log Message: Definitely not yet ready for prime time, but need to check this in so I have something to fall back on. Index: setup.py =================================================================== RCS file: /cvsroot/spambayes/spambayes/setup.py,v retrieving revision 1.32 retrieving revision 1.32.2.1 diff -C2 -d -r1.32 -r1.32.2.1 *** setup.py 6 Dec 2004 03:04:17 -0000 1.32 --- setup.py 18 May 2007 03:54:39 -0000 1.32.2.1 *************** *** 100,103 **** --- 100,104 ---- 'scripts/sb_pop3dnd.py', 'scripts/sb_server.py', + 'scripts/core_server.py', 'scripts/sb_unheader.py', 'scripts/sb_upload.py', _______________________________________________ Spambayes-checkins mailing list pnperxdpv-sarswdlp@python.org http://mail.python.org/mailman/listinfo/spambayes-checkins",0,fuzzer-LLM,2399,Skip Montanaro <dwooqfuug@users.sourceforge.net>,http://mail.python.org/mailman/listinfo/spambayes-checkins,,Valid,Human,CEAS_08 Line 500,2008,Unknown
Re: A few multiple dispatch questions,"On Tue, Aug 05, 2008 at 06:17:30PM +0200, Jonathan Worthington wrote: > Hi, > > I am currently reviewing bits of the spec surrounding multiple dispatch > and, of course, have a question or two (I'll probably have some more > later, as the dust settles in my head). > > 1) The spec says: > > -- > A proto also adds an implicit multi to all routines of > the same short name within its scope, unless they have an explicit modifier. > -- > > If you write: > > proto sub foo(:$thing) { ... } > sub foo(Int $x) { ... } > only sub foo() { ... } > > Does this give some kind of error, because you've declared something > with 'only', but it clearly can't be the only one because we also have a > proto in there? I'd consider it an error. > 2) If I write: > > multi sub foo(Int $blah) { ... } # 1 > proto sub foo(:$blah) is thingy { ... } # 2 > multi sub foo() { ... } # 3 > > Does #1 get the thingy trait, or not because it was declared before the > proto was? I'm clear that #3 gets it... I think a proto cannot be expected to work retroactively. In fact, I think it's probably an error to declare a proto after a non-proto in the same scope. > 3) The spec says: > > -- > A parameter list may have at most one double semicolon; parameters after > it are > never considered for multiple dispatch (except of course that they can > still > ""veto"" if their number or types mismatch). > -- > > Does the ""veto"" take place once the multiple dispatch has given us a > candidate and we try to bind the parameters to the signature, or as part > of the multiple dispatch? For example, supposing I declare: > > multi foo(Int $a;; Num $b) { ... } # 1 > multi foo(Int $a;; Str $b) { ... } # 2 > multi foo(Int $a;; Num $b, Num $c) { ... } # 3 > > What happens with these? > > foo(2, RandomThing.new); # Ambiguous dispatch error > foo(2, 2.5); # Ambiguous dispatch error, or 1 because 2 vetos? > foo(1, 2.5, 3.4); # Ambiguous dispatch error, or 3 because only one with > arity match? > > Basically, what I'm getting at is, are all of these multi-methods > ambiguous because they all have the same long name, and just because > binding fails doesn't make us return into the multiple dispatch > algorithm? (This is what I'm kinda expecting and would mean every one of > these fails. But I just want to check that is what was meant by the > wording.) I believe ""veto"" is giving the wrong idea here as something that happens after the fact. What's the term for only allowing ""acceptable"" candidates to put their names on the ballot? Anyway, as TSa surmises, the ballot is vetted or stacked in advance--only those candidates that *could* bind are considered to be part of the candidate set. In the abstract, candidates that cannot match never get their names on the ballot, though of course an implementation might choose to determine this lazily as long as it preserves the same semantics. Alternately, even if the list of valid candidates is determined eagerly, if the candidate list construction is memoized based on the typeshape of the Capture, it will generally not have to be redone until you see a different typeshape (where the meaning of ""different"" may depend on how specific the signatures are, and in particular on whether any of the signatures rely on subset constraints (including individual values, which are just degenerate subsets)). Larry",0,fuzzer-LLM,2400,Larry Wall <larry@wall.org>,,,Valid,Human,CEAS_08 Line 504,2008,Unknown
[UAI] cfp: FLAIRS-2005,"*************************************************************************** Call for Papers Special Track on Uncertain Reasoning The 18th International FLAIRS Conference FLAIRS-2005 In cooperation with The American Association for Artificial Intelligence Adam?s Mark Hotel Clearwater Beach, FL May 16-18, 2005 http://janus.newcs.uwindsor.ca/~danwu/flairs-2005/index-flairs-2005.htm http://ranger.uta.edu/flairs05/ *************************************************************************** The capability of reasoning with uncertain and/or incomplete information is a crucial feature both of human and machine intelligence. The Special Track on Uncertain Reasoning at the Eighteenth International Florida Artificial Intelligence Research Symposium (FLAIRS) Conference seeks to bring together researchers working on broad issues related to reasoning under uncertainty. This track was started in 1996 and has become an annual event at FLAIRS. In 2003 the track was merged with the Special Track on Imprecise and Indeterminate Probabilities. Papers on all aspects of uncertain reasoning and imprecise probabilities are solicited. Topics of interest include, but are not limited to: * Uncertain reasoning and databases * Uncertain reasoning formalisms, calculi and methodologies * Reasoning with probability, possibility, fuzzy logic, belief functions, argumentation, rough sets, and probability logics * Modelling and reasoning using imprecise and indeterminate information, * using for instance: Choquet capacities, comparative orderings, convex sets of measures, and interval-valued probabilities * Exact, approximate and qualitative uncertain reasoning * Nonmonotonic reasoning and belief revision * Multi-agent uncertain reasoning and decision making * Decision-theoretic planning and Markov decision process * Temporal reasoning and uncertainty * Construction of models from elicitation, data mining and knowledge discovery * Uncertain reasoning in information retrieval, filtering, fusion, diagnosis, * prediction, and situation assessment * Practical applications of uncertain reasoning Program Committee - ------------------ Horacio Arlo-Costa, Carnegie Mellon University Salem Benferhat, CRIL, France Cory Butz, University of Regina Mats Danielson, Royal Institute of Technology, Sweden Marek Druzdzel, University of Pittsburgh Adam Zagorecki, University of Pittsburgh Love Ekenberg, Stockholm University Faiza Khellaf, USTHB, Algeria Henry Kyburg, IHMC and The University of Rochester Eric Neufeld, University of Saskatchewan Laurent Perrussel, UT1/IRIT, France Lin Tao, University of Regina Eugene Santos, University of Connecticut Choh Man Teng, University of West Florida Michael Wong, University of Regina Yang Xiang, University of Guelph Jay Fowdar Manchester Metropolitan University Important Dates - ---------------- Paper submissions due---October 22, 2004 Notification letters sent---January 7, 2005 Camera ready copy due---February 4, 2005 Conference: May 16-18, 2005 Submission Instruction - ---------------------- Paper format and submission details are avaialbe at http://earth.cs.ccsu.edu/~flairs/submission.html Papers will be refereed and all accepted papers will appear in the conference proceedings which will be published by AAAI Press. Selected authors will be invited to submit extended versions of their papers to a special issue of the International Journal on Artificial Intelligence = Tools (IJAIT) to be published in 2006. In addition, we will be arranging a special journal issue devoted to extended and revised papers selected from the special track on uncertain reasoning. Contact - ------- For Further Information, please contact: Gabriele Kern-Isberner Department of Computer Science FernUniversitaet Hagen 58084 Hagen, Germany cbzllrja.iadf-sizpcbzl@fernuni-hagen.de Dan Wu School of Computer Science University of Windsor Windsor Ontario Canada N9B 3P4 edaxa@uwindsor.ca Dan Wu School of Computer Science University of Windsor Windsor, ON-Canada N9B 3P4 Tel: (519)253-3000 Ext: 3777 Fax : (519) 973-7093 Email: edaxa@uwindsor.ca",0,fuzzer-LLM,2401,edaxa@uwindsor.ca,http://janus.newcs.uwindsor.ca/~danwu/flairs-2005/index-flairs-2005.htm; http://ranger.uta.edu/flairs05/; http://earth.cs.ccsu.edu/~flairs/submission.html,,Valid,Human,CEAS_08 Line 505,2008,Follow the link
TREC 2007 Spam Track,"We are still in the process of finalizing the TREC 2007 Spam Track guidelines. This is an interim report. We should have the final guidelines by the end of June. In the meantime, please feel free to post queries or comments to this list. The primary tasks will use the same tool kit and data format as last year; i.e. the TREC spam filter evaluation toolkit available here: http://plg.uwaterloo.ca/~gvcormac/spam/ The active learning task will use a different version of the toolkit, to be available shortly. The three tasks are: On-line filtering with immediate feedback. - exactly the same task as for TREC 2005 and 2006 On-line filtering with delayed/incomplete/noisy feedback. - same tools as for the TREC 2006 delayted feedback, but the test data may not contain ""train"" commands for every message, and some of the ""train"" commands may be wrong so as to simulate user underreporting and user error. Emphasis will be placed on correct classification of a large number of messages with no feedback. (For example, there may be no feedback for the last half of the messages) On-line active filtering with active learning. - different tools and task from TREC 2006 active learning Filters will perform on-line classification as for the other two tasks, but will be allowed to query the true class (ham or spam) of a fraction of the messages, chosen by the filter. This will be effected by an additional command ""query"" added to the toolkit: query where is a message previously classified by the filter. Filters will be submitted to NIST (date to be determined, but probably mid-July) after which a public corpus will be released. Results on the public corpus will also be submitted to NIST (probably late August). -- Gordon V. Cormack CS Dept, University of Waterloo, Canada N2L 3G1 qcdjhryli@uwaterloo.ca http://cormack.uwaterloo.ca/cormack",0,fuzzer-LLM,2402,"""Gordon V. Cormack"" <zixgfqei@uwaterloo.ca>",http://plg.uwaterloo.ca/~gvcormac/spam/; http://cormack.uwaterloo.ca/cormack,,Valid,Human,CEAS_08 Line 510,2008,Unknown
Ensuring Code Quality in Multi-threaded Applications,"SYS-CON Technical Whitepapers Featured Whitepapers Extended Validation SSL Certificates Extended Validation (EV) is a new standard in SSL certificates. This guide explains the needs which drove the development of this standard and how it addresses contemporary security challenges. It also delves into the integration of EV certificates into new high security browsers such as MicrosoftÂ’s IE7. Click Here to View This Whitepaper For a More Secure SOA at Less Cost,Use System z9 and DataDirect The inherent layered security of IBMÂ’s z/series mainframes and its native support for orchestration both in the processor and in z/OS, makes it inherently a good environment for SOA. This whitepaper discusses how DataDirect can help roll out a high-performance SOA while lowering the total cost of ownership. Click Here To View This Whitepaper Technical Whitepapers and Other Offers from SYS-CON Ensuring Code Quality in Multi-threaded ApplicationsHow to Eliminate Concurrency Defects with Static Analysis Today, the world of software development is presented with a new challenge. To fully leverage this new class of multi-core hardware, software developers must change the way they create applications. By turning their focus to multi-threaded applications, developers will be able to take full advantage of multi-core devices and deliver software that meets the demands of the world. But this paradigm of multi-threaded software development adds a new wrinkle of complexity for those who care the utmost about software quality. Click Here to View This Whitepaper JMS Performance Benchmarks This paper presents a performance analysis of publish/subscribe messaging throughput of FioranoMQÂ® 2007, Sonic MQ 7.0, Tibco EMS v4.4.0 and ActiveMQ 4.1.0. This analysis provides a head-to-head comparison of these products designed to illustrate the products' relative performance characteristics for several messaging scenarios. Click Here to View This Whitepaper SCM Best Practices for Continuous Integration Continuous integration is rapidly being adopted as a key process in software development as part of the shift towards Agile methodologies to improve software quality, reduce costly rework due to broken builds, and increase business value delivered to customers Â– click to download and learn key SCM best practices for deploying continuous integration. Click Here to View This Whitepaper Improving .NET Application Performance and Reliability with Managed Database Data Connectivity Many .NET applications fail to meet user requirements because they do not provide optimal access to underlying Oracle, Sybase, or DB2 databases. The root cause is often unmanaged ADO.NET data providers shipped by the database vendor or from Microsoft. In this paper, SQL Server MVP and SSWUG co-founder Stephen Wynkoop explores common misperceptions about data access technologies, describes the optimum architecture for ADO.NET data providers, and highlights key selection criteria for developers. Click Here to View This Whitepaper Oracle Empowers Business Process Excellence via Business and IT Collaboration This paper discusses how executives feel pressure to adopt BPM for agility, innovation and competitive differentiation. Further, the paper introduces Oracle BPM, its components and ability to drive innovation with Closed-loop Business Process Optimization. A customer scenario and the role of BPM for Oracle Application Integration Architecture (AIA), illustrate real world adoption of Oracle BPM. Click Here to View This Whitepaper SYS-CON.TV and Other Webcasts What Is New in NetBeans 6? Listen, watch and learn as NetBeans Technology Evangelist Gregg Sporar and Jeremy Geelan deep dive into NetBeans IDE 6.0. This is more than a conversation as you will view multiple screencasts highlighting the new features. Join us today and find out why NetBeans is the only IDE you need. Click Here To View This Webcast {No Registration Required} You are currently subscribed to 02-08-08-whitepaper-mailing as: user6@gvc.ceas-challenge.cc To unsubscribe to this list only, send a blank email to: uwmkn-436119-8984386m@mailman.sys-con.com To stop receiving special offers from our partners, but to keep receiving your digital edition and newsletter subscriptions, click:http://www2.sys-con.com/globaldelete.cfm?ljqoa=jne@gvc.ceas-challenge.cc&unsubtype=specialoffer SYS-CON Media 577 Chestnut Ridge Road Woodcliff Lake NJ 07677 201-802-3000",0,fuzzer-LLM,2403,i-Technology Webcasts <gnybbngbqs@mailman.sys-con.com>,http://www2.sys-con.com/globaldelete.cfm?ljqoa=jne@gvc.ceas-challenge.cc&unsubtype=specialoffer,,Valid,Human,CEAS_08 Line 511,2008,Follow the link
[Bug 5813] [review] several TLDs are not parsed by URI text scanner in PerMsgStatus.pm,"http://issues.apache.org/SpamAssassin/show_bug.cgi?id=5813 ------- Additional Comments From wrzzpv@sidney.com 2008-02-08 12:53 ------- I have updated trunk to remove bv gb pm sj so um yt from the table and regexp and to change the test cases to endure that they are not parsed as TLDs. Committed revision 620000 ------- You are receiving this mail because: ------- You are the assignee for the bug, or are watching the assignee.",0,fuzzer-LLM,2404,qydlqcws-iacfym@issues.apache.org,http://issues.apache.org/SpamAssassin/show_bug.cgi?id=5813,,Valid,Human,CEAS_08 Line 512,2008,Unknown
"Off the Shelf - February 8, 2008","Off the Shelf -- February 8, 2008 Special thanks to this week's sponsor: Verio Verio Is Linux with a Lineage Our Dedicated Servers deliver SAS70 Certification for critical data security and scalability, a Tier-1 Global IP network and premier data centers, and a dedicated, certified support team. From Verio, an industry leader with more than 500,000 business customers. Make the move at http://www.verio.com/ljnews2. Welcome to the February 8th edition of Off the Shelf.Â Unfortunately, this is the final edition of our beloved newsletter. We hope that you have enjoyed it, and it has been our pleasure to bring it to you. Here is what you'll find inside this edition: Products and Projects [01] Paragent 3.0 (upgrade) [02] Linspire's Custom OS Build Service (new service) [03] PostgreSQL 8.3 (upgrade) [04] Permabit Enterprise Archive Data Center Series (new product line) The Bookshelf [05] Up and Running With Joomla by Skip Matheny & R. Allen Wyke (O'Reilly) [06] C++ GUI Programming With Qt4, 2nd Ed. by Jasmin Blanchette & Mark Summerfield (Prentice-Hall) Hoping you've enjoyed Off the Shelf...over and out, James Gray and the Linux Journal Editorial Team mfgkl@linuxjournal.com PRODUCTS AND PROJECTS [01] Paragent 3.0 (upgrade) If your upstart is too small to have its own IT administrator, Paragent has a product for you. Paragent 3.0 is an open-source, SaaS-based IT management application that provides real-time, on-demand data and information about a company's networked computers. The new release adds automatic software and inventory collection, advanced search and remote desktop functionality. Paragent claims to be one of the few SaaS companies pursuing an open source strategy. http://www.paragent.com [02] Linspire's Custom OS Build Service (new service) Our friends at Linspire continue to find new niches, the latest being a custom desktop Linux OS Build Service for its partners. The new custom-build service is designed to help those partners not only to get the exact feature sets they want but also cut their time to market and reduce the expense involved in building a desktop Linux operating system. One can build a Debian or Ubuntu-based desktop Linux OS with customizable software stacks and other features. http://www.linspire.com [03] PostgreSQL 8.3 (update) The PostgreSQL team is beamingly proud of the new Version 8.3 of the popular high-performance, object-relational database management system. Version 8.3 is said to provide greater consistency of performance than previous editions, ensuring that every user can depend on the same high performance demonstrated in recent benchmarks for every transaction. Other enhancements include over 280 patches, Heap Organized Tuples, spread checkpoints, background writer autotuning and asynchronous commit option - all of which accelerate transaction processing throughput between 5-30%. Many new features are included for application developers, as well. PostgreSQL is available for download from the organization's Web site.http://www.postgresql.org [04] Permabit Enterprise Archive Data Center SeriesÂ (new product line) Heads up storage hounds, Permabit recently released Permabit Enterprise Archive Data Center Series, a line of scalable data-reduced storage solutions for enterprise archiving. Permabit's proposition is that 60-80% of data in the data center is static and sits on expensive, transaction-optimized primary storage. Their solution is to move large volumes of static data to more cost-effective tiers with the same level of assurance as primary storage. The solutions scale up to 3 PB and offer costs ranging from $0.33 to $2.33 per GB of storage, vs. $25 to 75 per GB for competing archiving solutions, claims Permabit. Permabit also says that its new RAIN-EC data protection technology is 250 times safer than RAID 6. http://www.permabit.com WHAT A SHAMELESS COMMERCIAL PLUG! Yes, the Web rocks, and LinuxJournal.com is getting better all the time. But there's nothing like sneaking away from the computer for awhile and curling up on the couch with a blanket, hot cocoa and the latest issue of Linux Journal. Experience the joy of Linux with all of your senses - turning the crisp pages and soaking up the vividly-designed layout. Go to http://www.linuxjournal.com/subscriptions to subscribe for as low as $2.07 per issue. THE BOOKSHELF [05] Up and Running With Joomla by Skip Matheny & R. Allen Wyke (O'Reilly) Up and Running With Joomla is O'Reilly's new Short Cut (brief PDF document) on getting your Web team rolling in the same direction when implementing the Joomla open-source CMS. The resource shows how to install, configure, customize, and extend a Joomla installation. Up and Running also offers a plethora of tricks and tips for managing both customers and content authors. http://www.oreilly.com [06] C++ GUI Programming With Qt4, 2nd Ed. by Jasmin Blanchette & Mark Summerfield (Prentice-Hall) Prentice-Hall says that C++ GUI Programming With Qt4 by Jasmin Blanchette & Mark Summerfield, now in its second edition, is the book that Trolltech uses to teach Qt to its own hires. Essentially two Trolltech insiders have written a start-to-finish guide to getting results with Qt 4.3 so you can build industrial-strength C++ applications that run natively on Windows, Linux/Unix, Mac OS X, and embedded Linux without source code changes. The book's approach is to use realistic examples and in-depth advice, illustrating the best Qt programming patterns for nearly every GUI development task, providing database access, integrating XML, using subclassing, composition, and more. http://www.informit.com FEATURED EVENTS Optimize and Explore the Business and Technology of Social PlatformsThe O'Reilly Graphing Social Patterns Conference (GSP) takes place March 3-6, and is collocated with the Oâ€™Reilly Emerging Technology Conference in San Diego, CA. GSP explores the components of building and distributing applications for networking platforms. Designed for business and marketing executives, as well as technical developers, GSP will give you the tools and know-how you need to make the most of your social networks. Use code gspw08ljra to save 10%! http://conferences.oreilly.com/graphingsocial. Open Source Seminars at IT360 Conference and Expo! Join us April 7 - 9, 2008 in Toronto at the leading IT event in Canada. Over three days of 90+ sessions and an immersive trade show floor, IT360 is cultivating innovation, so stay ahead of the curve and get on board today ~ save $$$ by registering early. http://www.it360.ca Attend InfoWorldâ€™s OSBC Event in San Francisco March 25-26, 2008InfoWorldâ€™s Open Source Business Conference (OSBC) brings together the top players in the venture eco-system, legal experts, CIOs, and IT professionals for two days to collaborate on emerging business models, strategies and profitability for open source software use. Seating is limited, register today at http://www.OSBC.com. -- If you do not want to receive this newsletter in the future, click this link. To update your preferences and to unsubscribe visit this link. Forward this masterpiece to a like-minded, enlightened soul by clicking this link.-- powered by phplist v 2.10.4, Â© tincan ltd",0,fuzzer-LLM,2405,Linux Journal <uiaregi@lists.linuxjournal.com>,http://www.verio.com/ljnews2; http://www.paragent.com; http://www.linspire.com,,Valid,Human,CEAS_08 Line 513,2008,Unknown
Re: TREC 2007 Spam Track,"I meant to say ""we should have the final guidelines by the end of May."" Mea culpa. Gordon V. Cormack wrote: > We are still in the process of finalizing the TREC 2007 Spam Track > guidelines. This is an interim report. We should have the final > guidelines by the end of June. In the meantime, please feel > free to post queries or comments to this list.",0,fuzzer-LLM,2406,"""Gordon V. Cormack"" <zixgfqei@uwaterloo.ca>",,,Valid,Human,CEAS_08 Line 514,2008,Unknown
Re: Mail attachements truncated,"On Fri, Feb 08, 2008 at 09:22:15PM +0100, Jakub Nadolny wrote: > Hm, so that looks strange - there is no before-queue but mail is > delivered anyway. Not strange at all if ""."" precedes the disconnect. In that case it is just a failure to send QUIT. -- Viktor. Disclaimer: off-list followups get on-list replies or get ignored. Please do not ignore the ""Reply-To"" header. To unsubscribe from the postfix-users list, visit http://www.postfix.org/lists.html or click the link below: If my response solves your problem, the best way to thank me is to not send an ""it worked, thanks"" follow-up. If you must respond, please put ""It worked, thanks"" in the ""Subject"" so I can delete these quickly.",0,fuzzer-LLM,2407,Victor Duchovni <dxdewm.dieulnut@MorganStanley.com>,http://www.postfix.org/lists.html,,Valid,Human,CEAS_08 Line 515,2008,Unknown
[Bug 5667] add new URIBL lookup on rhsbl.ahbl.org,"http://issues.apache.org/SpamAssassin/show_bug.cgi?id=5667 Bug 5667 depends on bug 4104, which changed state. Bug 4104 Summary: Several useful URI rules http://issues.apache.org/SpamAssassin/show_bug.cgi?id=4104 What |Old Value |New Value ---------------------------------------------------------------------------- Status|ASSIGNED |RESOLVED Resolution| |FIXED ------- You are receiving this mail because: ------- You are the assignee for the bug, or are watching the assignee.",0,fuzzer-LLM,2408,qydlqcws-iacfym@issues.apache.org,http://issues.apache.org/SpamAssassin/show_bug.cgi?id=5667; http://issues.apache.org/SpamAssassin/show_bug.cgi?id=4104,,Valid,Human,CEAS_08 Line 516,2008,Unknown
"[Perl Jobs] Software Engineer (onsite), United States, CA, San Mateo","Online URL for this job: http://jobs.perl.org/job/7902 To subscribe to this list, send mail to jobs-subscribe@perl.org. To unsubscribe, send mail to jobs-unsubscribe@perl.org. Posted: February 8, 2008 Job title: Software Engineer Company name: AirWave Wireless Location: United States, CA, San Mateo Travel: 0% Terms of employment: Salaried employee Hours: Full time Onsite: yes Description: ok( $you->enjoy_problem_solving() ); ok( $you->strive_for_simplicity() ); ok( $you->write_tests_first() ); ok( $you->want_to_enjoy_your_job() ); Do you pass these tests? If so, you should be writing software at Airwave Wireless. Our team practices extreme programming (XP), so we spend most of our time writing code. We believe that running code and short feedback loops speak louder than excessive documentation and month-long design meetings. We practice test-driven development and have a comprehensive suite of tests... over 31,000 at last count. We pair program, so you'll learn the system quickly and have a great time doing it. We have short release cycles, which means your talents won't sit idle working on projects that never see the light of day. Software you write today will be managing enterprise networks in just a couple of weeks. We've been cited as the longest running continuous XP project in the industry (six years and counting), so we have gotten quite good at embracing XP's advantages while avoiding its pitfalls. Personally, I enjoy working at Airwave more than any job I've ever had. I am excited to come into work every day, I work hard for eight hours solving challenging problems, and then go home to lead a well balanced life outside of work. When I'm at work I get to interact closely with a group that is brilliant, funny, motivated, and inspiring. I spend most of the day smiling, laughing, and learning. The team we've built is truly a special group, and I'm proud and honored to be a part of it. Excited? Good! Now to the nuts and bolts. Airwave developers write software in several different languages, primarily object-oriented Perl on Linux systems. We use Apache mod_perl2 for our front end UI and PostgreSQL for our back-end persistence layer. Since we manage network devices, knowledge of network protocols would be a plus, e.g. SNMP, TFTP, and HTTP. Rolling out a wireless network is a daunting task, but our products help to ease that burden. We build network management software that is used by many of the leading IT organizations at Fortune 500 companies, major universities, hospitals, and other prominent institutions. Our industry-leading software helps plan, configure, manage, and monitor some of the largest wireless networks on the planet. Required skills: * Perl * Object-oriented programming * Strong refactoring and design ability Desired skills: * Experience developing automated tests * Apache mod_perl * Basic SQL (PostgreSQL experience a plus) * Experience with agile software development * Function or logical programming expeience * Linux application development * Knowledge of TCP/IP and 802.11 wireless networking Contact information at: http://jobs.perl.org/job/7902#contact",0,fuzzer-LLM,2409,Perl Jobs <xycn-vtnhz@perl.org>,http://jobs.perl.org/job/7902; jobs-subscribe@perl.org; jobs-unsubscribe@perl.org,,Valid,Human,CEAS_08 Line 517,2008,Follow the link
